text,label
Bronchitis,"fatigue, persistent cough"
Migraine,"sensitivity to light, dizziness, severe headache"
Gastroenteritis,"vomiting, diarrhea, fever, abdominal pain"
Migraine,"sensitivity to light, dizziness, nausea"
Gastroenteritis,"diarrhea, fever"
Common,"Cold,sneezing,runny nose ,mild fever"
Gastroenteritis,"abdominal pain, nausea, diarrhea"
Pneumonia,"fever, difficulty breathing, chest pain"
Hypertension,"blurred vision, headache, shortness of breath"
Asthma,"shortness of breath, chest tightness, coughing, wheezing"
Pneumonia,"difficulty breathing, cough with phlegm"
Pneumonia,"chest pain, fever, cough with phlegm, difficulty breathing"
Asthma,"wheezing, chest tightness"
Influenza,"fatigue, body aches, high fever"
Diabetes,"blurred vision, increased thirst, frequent urination"
Pneumonia,"fever, cough with phlegm, difficulty breathing, chest pain"
Diabetes,"blurred vision, frequent urination, increased thirst, fatigue"
Allergies,"rash, itchy eyes, sneezing, congestion"
Migraine,"dizziness, severe headache, sensitivity to light, nausea"
Common,"Cold,Sore throat"
Asthma,"shortness of breath, chest tightness, wheezing"
Hypertension,"shortness of breath, blurred vision, dizziness"
Influenza,"body aches, high fever, headache"
Influenza,"fatigue, headache, body aches"
Bronchitis,"persistent cough, slight fever, wheezing, fatigue"
Migraine,"nausea, dizziness, severe headache, sensitivity to light"
Allergies,"rash, itchy eyes, sneezing"
Diabetes,"frequent urination, fatigue, increased thirst, blurred vision"
Hypertension,"dizziness, headache"
Allergies,"itchy eyes, congestion"
Influenza,"body aches, headache, chills, fatigue"
Gastroenteritis,"diarrhea, fever, abdominal pain"
Allergies,"sneezing, rash"
Common,"Cold,cough, mild fever"
Hypertension,"shortness of breath, headache"
Influenza,"body aches, chills, high fever, fatigue, headache"
Bronchitis,"wheezing, fatigue, persistent cough"
Gastroenteritis,"vomiting, fever, abdominal pain, nausea, diarrhea"
Asthma,"shortness of breath, wheezing"
Bronchitis,"slight fever, persistent cough, wheezing"
Hypertension,"headache, blurred vision, shortness of breath"
Pneumonia,"chest pain, difficulty breathing, cough with phlegm, fever"
Migraine,"nausea, dizziness, sensitivity to light"
Diabetes,"blurred vision, increased thirst, fatigue"
Asthma,"wheezing, coughing"
Allergies,"rash, sneezing, congestion, itchy eyes"
Bronchitis,"persistent cough, wheezing, fatigue"
Common,"Cold,sore throat, cough, runny nose, mild fever, sneezing"
Common,"Cold,cough, sore throat, runny nose, mild fever, sneezing"
Diabetes,"increased thirst, blurred vision, frequent urination"
